feature,rf,xgb,lgb,combined
boundary_layer_height,0.05106940767844989,0.02937736,1733,589.2465474332998
pm25_lag1h,0.10879058336782417,0.5666628,1595,542.5228996174488
wind_speed,0.0033601872451751486,0.002235823,1395,474.301846683416
wind_trend,0.0008912243100518108,0.0016672837,794,269.960844307688
hour,0.0024062557951844837,0.0017822791,640,217.6013822165626
pm25_lag24h,0.1155371347306494,0.0681213,587,199.6406072840739
dew_pt_dep,0.00327373631190712,0.0017943786,563,191.4216724779458
month_cos,0.029169963374223094,0.017376889,538,182.9353604612632
hour_cos,0.004766216931080348,0.009158765,499,169.66459524410052
wind_direction,0.00040229883145662777,0.0008163355,498,169.32040214934435
boundary_layer_height_3h,0.017663942272361198,0.00044800175,470,159.8059769415401
temp_drop_3h,0.003428172543078848,0.00986049,418,142.1243852588525
wind_speed_3h,0.0020510007192393017,0.00020926507,414,140.7607458877117
month,0.012032679742867097,0.003227716,388,131.9250359306096
doy_cos,0.039141032275040115,0.010632646,316,107.45642531405029
humidity,0.0024498762473927236,0.0006612852,302,102.68102668327674
hour_sin,0.0012557422893018494,0.007032471,282,95.88273511041454
log_wind,0.0033288313286383123,0.001024007,263,89.42143643664379
temperature,0.026493995131644472,0.0024738768,256,87.04955939777619
wind_speed_6h,0.000777404448446554,0.00014607944,228,77.52030474968488
inversion_proxy,0.007677965016558125,0.0015472431,215,73.10304431872284
pm25_lag48h,0.12849403532667825,0.022435017,206,70.08980658744963
log_blh,0.04802189636640398,0.023642788,203,69.04364934621083
pm25_roll24h,0.04989582768032677,0.01379571,198,67.34101820774167
pressure,0.009429192372460659,0.00017321404,188,63.92316879411897
doy_sin,0.0029103230349070684,0.0005322312,172,58.48113604289233
temperature_12h,0.010578510991925662,0.0015653756,149,50.66400748258404
pm25_roll3h,0.07459301333478859,0.11687322,147,50.04318385955375
is_nw_wind,0.00017223619852810846,0.0016421786,147,49.980598756914766
humidity_3h,0.0009831774179190058,0.00024036279,141,47.940403768272965
wdir_sin,0.00030659248695542055,0.0002691158,141,47.94018998373476
temperature_3h,0.011763589854550498,0.00027747272,133,45.223973550650456
pm25_lag12h,0.0042120755380275375,0.004385561,133,45.22283722016164
temp_drop_6h,0.005361467896545804,0.0006052849,131,44.54196902841807
boundary_layer_height_12h,0.0008447892584351637,0.001887636,129,43.860901700390556
inv_blh,0.05205245590884429,0.014760144,128,43.542048158248804
pm25_lag6h,0.010079187894528621,0.0005252321,125,42.50349945861601
pm25_lag3h,0.030815648309067925,0.00045786033,121,41.150320257860244
humidity_12h,0.0006130333807557427,0.00053946587,108,36.72038032475188
wdir_cos,0.00035368683790194957,0.00021438755,101,34.34018746454679
wind_speed_24h,0.00027433041373180395,0.00012636323,99,33.66013222890295
cold_calm,0.003728114076567784,0.0010343593,95,32.30157161624554
pm25_roll6h,0.03808221742814715,0.00077448785,80,27.2128227127428
is_rush_hour,0.0002686551128240061,0.006514798,80,27.202238539612097
wind_speed_12h,0.0005147135371465308,0.000106902226,76,25.840205133202414
month_sin,0.0030672103363203855,0.003442611,66,22.442148241146437
hygroscopic_factor,0.0025383157197665937,0.00068516744,44,14.961063749445277
is_smog_season,0.024724327782787794,0.0046641715,24,8.169698204847537
vehicle_count,9.776034614730814e-05,8.979396e-05,20,6.8000618929228205
near_fog,0.0007291596141448548,0.003377164,6,2.041355086804783
is_night,0.002332073356215222,0.0012934424,6,2.04119642022833
day_of_week,9.443752000069264e-05,5.413285e-05,5,1.7000490282236043
log_vehicles,9.613773910437805e-05,0.00014729312,3,1.0200803321831557
is_winter,0.0010831596313188132,0.0057000783,1,0.34223846864272944
prev_hazardous,0.04411727407647667,0.028497146,0,0.02396275901341691
high_humidity,0.0007788937348932412,0.002378557,0,0.001041958837090177
is_weekend,2.4828894285056452e-05,3.492386e-05,0,1.9718410049344506e-05
