timestamp,temperature,humidity,dew_point,wind_speed,wind_direction,pressure,boundary_layer_height,precipitation,visibility
2015-01-01 00:00:00,8.5,96,7.9,1.35,42,992.4,15.0,0.0,
2015-01-01 01:00:00,7.5,99,7.3,1.22,55,992.3,15.0,0.0,
2015-01-01 02:00:00,7.1,99,7.0,1.42,51,992.5,15.0,0.0,
2015-01-01 03:00:00,6.7,100,6.7,1.06,49,992.4,15.0,0.0,
2015-01-01 04:00:00,6.4,99,6.3,1.3,32,991.5,20.0,0.0,
2015-01-01 05:00:00,6.8,99,6.6,1.35,48,991.7,35.0,0.0,
2015-01-01 06:00:00,6.8,99,6.7,1.63,43,991.4,50.0,0.0,
2015-01-01 07:00:00,6.8,99,6.7,1.7,40,992.3,60.0,0.0,
2015-01-01 08:00:00,7.3,98,7.1,1.7,28,993.0,60.0,0.0,
2015-01-01 09:00:00,9.2,95,8.5,1.3,4,994.0,85.0,0.0,
2015-01-01 10:00:00,12.4,85,9.9,1.17,340,995.1,115.0,0.0,
2015-01-01 11:00:00,15.5,70,10.1,1.52,337,995.1,220.0,0.0,
2015-01-01 12:00:00,18.1,58,9.6,1.8,341,994.3,385.0,0.0,
2015-01-01 13:00:00,19.6,52,9.4,2.02,340,993.4,505.0,0.0,
2015-01-01 14:00:00,20.4,49,9.3,2.25,339,992.9,595.0,0.0,
2015-01-01 15:00:00,20.6,48,9.3,2.4,343,992.3,610.0,0.0,
2015-01-01 16:00:00,20.1,52,9.9,2.09,343,991.5,530.0,0.0,
2015-01-01 17:00:00,18.2,59,10.0,2.59,332,991.8,90.0,0.0,
2015-01-01 18:00:00,15.8,67,9.7,2.39,327,991.3,50.0,0.0,
2015-01-01 19:00:00,14.2,72,9.3,2.44,325,991.7,45.0,0.0,
2015-01-01 20:00:00,13.0,76,9.0,2.28,322,991.7,45.0,0.0,
2015-01-01 21:00:00,12.1,79,8.5,2.56,321,991.9,45.0,0.0,
2015-01-01 22:00:00,11.2,81,8.1,2.66,326,992.0,40.0,0.0,
2015-01-01 23:00:00,10.4,83,7.6,2.77,334,992.1,35.0,0.0,
2015-01-02 00:00:00,9.6,85,7.2,2.85,342,991.9,35.0,0.0,
2015-01-02 01:00:00,8.6,89,6.9,2.57,347,992.0,25.0,0.0,
2015-01-02 02:00:00,7.6,91,6.2,2.57,347,991.8,25.0,0.0,
2015-01-02 03:00:00,6.9,91,5.6,2.38,338,991.4,25.0,0.0,
2015-01-02 04:00:00,6.5,91,5.2,2.1,335,991.3,25.0,0.0,
2015-01-02 05:00:00,6.2,91,4.9,1.68,343,990.9,15.0,0.0,
2015-01-02 06:00:00,6.1,91,4.8,1.43,25,990.7,15.0,0.0,
2015-01-02 07:00:00,5.4,92,4.3,1.91,47,990.8,20.0,0.0,
2015-01-02 08:00:00,7.0,89,5.4,1.49,48,991.6,20.0,0.0,
2015-01-02 09:00:00,11.2,79,7.6,0.63,342,992.0,50.0,0.0,
2015-01-02 10:00:00,15.2,63,8.1,0.94,302,992.9,120.0,0.0,
2015-01-02 11:00:00,18.0,51,7.8,1.17,290,992.7,230.0,0.0,
2015-01-02 12:00:00,19.7,44,7.0,1.2,270,992.2,385.0,0.0,
2015-01-02 13:00:00,20.5,40,6.3,1.03,241,991.4,560.0,0.0,
2015-01-02 14:00:00,21.0,38,6.1,1.03,209,991.1,680.0,0.0,
2015-01-02 15:00:00,20.7,40,6.5,1.39,210,990.5,705.0,0.0,
2015-01-02 16:00:00,20.1,46,8.2,0.91,186,990.3,130.0,0.0,
2015-01-02 17:00:00,18.4,54,9.0,2.46,153,990.3,55.0,0.0,
2015-01-02 18:00:00,15.8,66,9.3,2.14,143,990.2,50.0,0.0,
2015-01-02 19:00:00,14.4,72,9.4,2.42,142,990.6,55.0,0.0,
2015-01-02 20:00:00,13.7,76,9.6,2.28,142,991.1,60.0,0.0,
2015-01-02 21:00:00,12.7,82,9.8,2.34,140,991.6,70.0,0.0,
2015-01-02 22:00:00,12.1,88,10.1,2.5,143,991.7,85.0,0.0,
2015-01-02 23:00:00,11.6,92,10.4,2.64,143,991.9,110.0,0.0,
2015-01-03 00:00:00,11.7,94,10.7,2.58,144,991.9,130.0,0.0,
2015-01-03 01:00:00,11.4,95,10.7,2.15,152,992.0,120.0,0.0,
2015-01-03 02:00:00,11.0,96,10.5,1.84,158,991.8,100.0,0.0,
2015-01-03 03:00:00,10.3,98,10.1,1.7,140,991.6,80.0,0.0,
2015-01-03 04:00:00,9.7,99,9.5,1.58,125,991.4,55.0,0.0,
2015-01-03 05:00:00,9.0,100,8.9,1.7,118,991.0,60.0,0.0,
2015-01-03 06:00:00,8.8,99,8.7,2.06,119,990.9,75.0,0.0,
2015-01-03 07:00:00,8.7,99,8.6,1.72,126,991.7,85.0,0.0,
2015-01-03 08:00:00,9.1,97,8.7,1.56,140,992.4,85.0,0.0,
2015-01-03 09:00:00,10.6,97,10.2,1.62,158,993.2,135.0,0.0,
2015-01-03 10:00:00,12.5,94,11.5,1.53,169,993.7,115.0,0.0,
2015-01-03 11:00:00,14.2,87,12.0,1.36,197,993.3,285.0,0.0,
2015-01-03 12:00:00,16.2,76,11.9,1.14,218,992.3,410.0,0.0,
2015-01-03 13:00:00,17.7,69,12.0,0.92,229,991.5,585.0,0.0,
2015-01-03 14:00:00,18.5,64,11.6,0.67,243,990.9,795.0,0.0,
2015-01-03 15:00:00,18.7,61,11.0,1.17,250,990.2,930.0,0.0,
2015-01-03 16:00:00,18.5,61,10.7,0.92,257,990.4,850.0,0.0,
2015-01-03 17:00:00,17.6,65,10.8,0.58,239,990.3,20.0,0.0,
2015-01-03 18:00:00,16.3,70,10.8,0.51,101,990.5,10.0,0.0,
2015-01-03 19:00:00,14.9,76,10.8,1.36,107,991.0,20.0,0.0,
2015-01-03 20:00:00,12.8,87,10.7,1.89,122,991.2,25.0,0.0,
2015-01-03 21:00:00,11.8,90,10.2,2.19,133,991.5,25.0,0.0,
2015-01-03 22:00:00,11.6,90,10.0,2.2,141,992.0,25.0,0.0,
2015-01-03 23:00:00,11.0,93,9.8,2.2,141,992.1,25.0,0.0,
2015-01-04 00:00:00,9.5,95,8.8,2.19,133,992.3,25.0,0.0,
2015-01-04 01:00:00,9.5,95,8.8,1.97,120,992.2,20.0,0.0,
2015-01-04 02:00:00,9.2,96,8.6,1.77,106,992.3,20.0,0.0,
2015-01-04 03:00:00,8.5,98,8.1,1.53,101,992.2,20.0,0.0,
2015-01-04 04:00:00,8.6,98,8.2,0.9,90,992.0,20.0,0.0,
2015-01-04 05:00:00,9.0,98,8.6,0.82,104,992.4,30.0,0.0,
2015-01-04 06:00:00,8.1,99,8.0,0.36,124,992.5,30.0,0.0,
2015-01-04 07:00:00,8.0,98,7.8,0.36,146,993.3,20.0,0.0,
2015-01-04 08:00:00,8.7,97,8.3,0.36,146,994.0,45.0,0.0,
2015-01-04 09:00:00,10.5,94,9.5,0.45,153,995.2,60.0,0.0,
2015-01-04 10:00:00,13.1,90,11.5,0.22,207,996.0,140.0,0.0,
2015-01-04 11:00:00,15.5,80,12.1,0.54,292,996.3,480.0,0.0,
2015-01-04 12:00:00,17.0,70,11.5,2.05,313,995.3,965.0,0.0,
2015-01-04 13:00:00,17.8,63,10.6,2.22,324,994.6,1110.0,0.0,
2015-01-04 14:00:00,18.2,59,10.0,2.06,331,994.3,1150.0,0.0,
2015-01-04 15:00:00,18.3,56,9.5,1.75,336,994.1,890.0,0.0,
2015-01-04 16:00:00,17.8,58,9.4,1.25,331,993.6,825.0,0.0,
2015-01-04 17:00:00,16.6,64,9.8,1.3,356,993.3,40.0,0.0,
2015-01-04 18:00:00,14.8,71,9.6,1.5,4,993.4,20.0,0.0,
2015-01-04 19:00:00,13.2,77,9.3,2.01,354,993.9,25.0,0.0,
2015-01-04 20:00:00,11.8,83,9.0,2.4,358,994.0,25.0,0.0,
2015-01-04 21:00:00,10.6,87,8.6,2.42,353,994.2,25.0,0.0,
2015-01-04 22:00:00,9.7,90,8.1,2.53,342,994.0,25.0,0.0,
2015-01-04 23:00:00,9.2,90,7.7,2.37,332,994.1,25.0,0.0,
2015-01-05 00:00:00,8.9,92,7.7,2.56,329,993.9,30.0,0.0,
2015-01-05 01:00:00,8.5,93,7.4,2.37,332,993.3,30.0,0.0,
2015-01-05 02:00:00,8.3,93,7.2,2.25,328,993.4,35.0,0.0,
2015-01-05 03:00:00,8.1,93,7.1,2.14,323,992.9,35.0,0.0,
2015-01-05 04:00:00,7.9,94,7.0,1.91,313,992.8,45.0,0.0,
2015-01-05 05:00:00,7.8,94,6.9,2.0,307,992.3,50.0,0.0,
2015-01-05 06:00:00,7.8,94,6.9,1.89,302,992.1,55.0,0.0,
2015-01-05 07:00:00,7.8,94,6.8,1.97,300,992.4,55.0,0.0,
2015-01-05 08:00:00,8.8,93,7.7,2.75,303,992.8,75.0,0.0,
2015-01-05 09:00:00,12.1,83,9.3,2.3,304,993.8,150.0,0.0,
2015-01-05 10:00:00,15.3,69,9.7,2.47,302,993.9,305.0,0.0,
2015-01-05 11:00:00,17.7,58,9.3,3.31,299,993.4,830.0,0.0,
2015-01-05 12:00:00,18.3,58,10.0,4.57,299,992.2,995.0,0.0,
2015-01-05 13:00:00,19.1,53,9.4,4.79,299,991.1,1140.0,0.0,
2015-01-05 14:00:00,19.5,51,9.1,4.61,300,990.6,1220.0,0.0,
2015-01-05 15:00:00,19.5,51,9.0,4.25,294,989.8,1130.0,0.0,
2015-01-05 16:00:00,18.9,54,9.3,3.45,292,989.5,1005.0,0.0,
2015-01-05 17:00:00,17.2,61,9.6,1.94,282,989.1,245.0,0.0,
2015-01-05 18:00:00,15.0,71,9.7,2.31,275,989.1,80.0,0.0,
2015-01-05 19:00:00,13.6,78,9.8,2.2,270,989.5,80.0,0.0,
2015-01-05 20:00:00,12.7,83,9.9,2.2,267,989.7,80.0,0.0,
2015-01-05 21:00:00,12.1,87,10.0,2.2,267,989.6,80.0,0.0,
2015-01-05 22:00:00,11.8,90,10.1,2.2,273,989.8,85.0,0.0,
2015-01-05 23:00:00,11.5,91,10.1,2.22,278,989.9,90.0,0.0,
2015-01-06 00:00:00,11.4,93,10.2,2.35,282,989.8,95.0,0.0,
2015-01-06 01:00:00,11.0,93,9.9,2.4,287,989.4,100.0,0.0,
2015-01-06 02:00:00,10.5,94,9.5,2.25,291,989.1,90.0,0.0,
2015-01-06 03:00:00,10.0,94,9.1,2.15,292,988.7,80.0,0.0,
